% This dataset is taken from the Penn Machine Learning Benchmark.
% This ARFF is automatically generated.
% The data types of attributes are inferred from the data.
% In particular this means there is some uncertainty as to whether an attribute truly is categorical, numerical or ordinal.

@RELATION mofn-3-7-10
@ATTRIBUTE Bit-0 {0,1}
@ATTRIBUTE Bit-1 {0,1}
@ATTRIBUTE Bit-2 {0,1}
@ATTRIBUTE Bit-3 {0,1}
@ATTRIBUTE Bit-4 {0,1}
@ATTRIBUTE Bit-5 {0,1}
@ATTRIBUTE Bit-6 {0,1}
@ATTRIBUTE Bit-7 {0,1}
@ATTRIBUTE Bit-8 {0,1}
@ATTRIBUTE Bit-9 {0,1}
@ATTRIBUTE class {0,1}
@DATA
0,0,1,0,0,1,1,1,0,0,1
1,1,1,0,1,0,1,1,0,0,1
0,0,0,1,0,0,0,1,1,1,1
0,0,0,0,1,1,1,1,1,1,1
1,1,0,0,1,1,0,1,0,1,1
0,1,0,0,1,0,1,0,0,1,0
0,1,0,0,0,0,0,1,1,1,0
1,0,1,0,1,0,0,1,0,0,1
0,1,1,0,0,1,0,1,1,0,1
0,1,0,1,0,1,1,1,0,0,1
1,0,0,0,0,0,1,1,0,1,0
1,1,0,1,1,0,0,0,1,0,1
0,0,1,1,0,0,1,0,0,1,1
1,1,1,0,1,1,0,0,0,0,1
0,1,0,1,0,0,1,1,0,0,1
1,1,0,0,1,0,1,0,0,1,0
1,1,1,1,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,1,0
1,1,1,0,0,1,0,1,1,1,1
1,0,0,1,0,1,1,0,1,1,1
1,0,1,0,1,1,0,0,1,1,1
0,1,0,1,1,1,0,1,0,1,1
1,0,1,0,1,1,1,0,1,1,1
1,0,1,0,0,0,0,1,0,1,0
1,1,0,0,0,0,1,1,0,1,0
1,1,1,0,0,0,1,1,1,0,1
1,0,0,1,0,1,0,0,0,1,0
0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,1,1,1,0,1,1,1
1,1,1,1,1,0,0,1,0,1,1
0,1,1,0,0,1,1,0,0,1,1
0,0,1,0,1,0,0,0,0,1,0
1,1,0,1,1,1,1,0,0,0,1
0,1,1,0,0,0,1,1,0,1,1
1,0,1,1,1,0,1,1,1,1,1
1,0,1,0,1,0,0,1,1,0,1
0,0,0,1,1,0,0,1,0,0,1
1,0,1,1,1,1,0,1,1,0,1
1,0,1,0,0,0,1,1,0,1,1
0,1,1,0,1,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,1,1
0,1,0,1,0,1,0,0,0,0,0
0,1,1,0,1,1,0,1,1,0,1
0,0,1,1,1,1,0,1,1,1,1
1,0,0,1,0,0,0,0,1,0,0
0,0,0,1,1,1,0,0,0,0,1
0,1,0,0,0,0,1,0,1,1,0
1,1,1,1,1,1,1,1,0,1,1
1,1,1,0,0,1,1,0,1,0,1
1,1,0,1,0,0,0,0,0,1,0
0,1,1,0,1,1,1,1,1,0,1
1,0,0,0,0,1,1,0,1,0,1
1,0,0,0,0,1,1,1,0,1,1
1,1,1,0,0,1,1,1,0,0,1
1,1,0,1,1,0,0,1,0,1,1
1,0,0,0,1,1,0,1,1,0,1
1,1,0,1,1,0,1,0,1,1,1
1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,1,0,1,0,0,1
0,0,1,1,1,0,1,1,0,1,1
0,0,1,1,1,1,0,0,0,1,1
0,0,1,1,0,1,0,0,1,1,1
1,0,1,0,0,1,1,1,0,0,1
1,1,1,0,0,0,1,0,1,1,1
0,1,1,0,0,1,1,1,0,1,1
1,0,1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,1,1
0,1,1,1,0,0,1,0,0,0,1
0,1,0,0,1,1,0,0,0,1,0
0,1,1,0,0,0,1,1,1,1,1
1,0,1,1,1,1,0,0,1,1,1
1,1,0,1,0,0,1,0,0,1,0
0,0,1,0,1,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,1,1
0,1,1,0,1,1,1,1,0,1,1
1,1,0,0,0,1,1,1,0,1,1
1,1,1,0,0,0,1,1,0,1,1
0,0,1,0,0,1,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,1,0
1,1,1,0,1,1,1,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0
0,1,1,1,0,0,1,1,0,0,1
1,1,0,0,1,0,0,0,0,1,0
0,1,1,0,1,1,0,1,0,0,1
0,1,0,0,1,0,0,0,0,0,0
0,1,1,1,1,1,0,1,1,0,1
1,0,1,1,1,0,1,0,1,0,1
0,1,0,0,1,0,0,0,1,0,0
1,0,1,1,1,1,1,0,0,0,1
0,1,1,1,1,0,0,1,0,1,1
1,1,1,0,1,0,1,1,1,1,1
0,0,0,1,1,0,0,1,0,1,1
0,0,0,0,0,0,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0
1,0,0,1,1,0,1,0,1,0,1
0,0,1,1,1,1,1,0,1,0,1
0,1,0,0,1,1,0,0,1,1,1
0,0,1,1,0,0,0,0,1,1,1
0,1,1,1,1,0,0,0,1,1,1
1,1,1,1,1,1,1,0,0,1,1
0,1,1,0,1,1,0,1,0,1,1
0,1,1,1,0,1,1,1,0,0,1
0,1,1,1,1,0,1,1,0,1,1
1,1,1,1,1,0,1,0,0,1,1
1,1,0,0,0,1,1,0,1,1,1
1,0,1,0,0,0,1,0,0,0,0
1,0,1,1,1,0,0,1,1,0,1
1,0,1,0,0,0,1,0,0,1,0
1,1,0,1,1,1,1,0,0,1,1
0,0,1,0,0,0,1,0,1,1,1
0,1,0,1,1,1,1,1,1,0,1
1,0,1,1,0,1,0,1,0,0,1
1,0,1,0,1,0,0,0,1,1,1
1,1,0,1,0,1,1,0,1,1,1
0,0,1,1,1,1,0,1,0,0,1
1,0,1,1,0,1,1,0,1,0,1
0,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,1,0,1,1,1,1
1,0,1,1,1,0,0,1,1,1,1
1,0,0,0,0,1,0,1,1,1,1
1,0,0,0,0,1,1,1,0,0,1
0,1,1,0,1,1,1,0,1,0,1
1,1,1,0,1,0,1,0,0,1,1
1,1,1,1,1,1,0,0,1,0,1
0,1,0,1,1,0,1,0,1,0,1
1,0,1,1,1,0,0,0,0,0,1
0,0,0,1,1,1,0,1,1,0,1
1,1,0,1,1,1,1,0,1,1,1
1,0,1,1,0,0,1,0,1,1,1
1,1,1,0,0,0,0,0,1,1,0
1,0,0,1,0,1,0,0,1,1,1
1,0,0,1,1,1,0,0,0,0,1
0,0,1,1,0,1,0,0,0,1,1
1,1,1,1,0,1,0,1,0,0,1
0,0,0,0,1,1,0,0,1,0,1
1,1,0,1,1,1,1,1,0,0,1
0,1,1,0,1,0,1,0,0,0,1
1,1,0,0,1,1,1,0,0,0,1
1,1,0,1,0,1,1,1,0,1,1
0,0,1,0,1,1,0,1,0,1,1
1,0,0,0,1,0,1,0,1,1,1
0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,1,1,1,1,0,0,1
1,1,1,1,0,1,1,0,1,1,1
1,0,1,0,1,0,1,1,1,0,1
1,1,0,0,0,1,0,1,1,1,1
0,0,0,0,1,0,1,1,1,0,1
0,0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,1,0
1,0,0,0,1,1,0,0,0,0,0
1,1,1,0,0,0,0,1,1,1,1
0,1,1,1,0,1,1,0,0,1,1
0,0,0,0,0,1,0,0,1,1,0
0,1,1,1,0,1,0,1,0,1,1
1,1,1,1,1,0,1,0,1,1,1
1,0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,1,1,0,1,1,1
1,0,1,0,0,1,1,1,0,1,1
0,0,1,0,0,0,0,0,1,1,0
0,0,1,0,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0
1,1,0,1,1,0,1,0,1,0,1
0,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,1,1,1,1
1,0,0,1,1,0,0,0,1,1,1
1,1,0,1,1,1,0,1,0,0,1
0,0,1,0,1,1,0,1,0,0,1
0,1,0,0,0,1,1,0,1,1,1
0,0,0,1,0,0,0,0,1,0,0
1,1,1,1,0,0,1,1,1,0,1
0,1,1,0,0,1,0,0,1,0,1
0,0,1,1,0,0,0,0,1,0,1
0,1,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0
1,0,0,1,0,0,1,1,1,1,1
0,0,1,0,1,1,0,1,1,1,1
0,1,1,0,1,0,1,0,1,0,1
0,0,0,0,0,1,1,1,1,0,1
1,1,0,0,1,1,1,1,1,0,1
1,0,0,1,0,0,1,0,1,1,1
0,1,0,0,0,0,1,1,0,1,0
1,0,0,0,0,0,1,1,0,0,0
0,1,1,1,1,0,0,1,0,0,1
0,0,0,0,1,0,1,0,0,1,0
0,0,1,1,1,1,1,1,1,1,1
0,0,0,1,0,1,1,0,1,0,1
1,0,0,1,0,1,0,1,1,0,1
1,0,0,0,1,0,1,0,1,0,1
1,0,0,1,1,1,1,0,1,0,1
1,1,1,0,0,0,0,1,1,0,1
0,0,0,1,1,0,0,1,1,1,1
0,1,1,1,0,0,1,0,0,1,1
1,0,0,0,0,1,1,1,1,0,1
1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,0,0,0
1,1,0,0,0,0,1,1,1,1,1
1,0,0,1,0,0,1,0,0,1,0
0,1,0,1,1,1,0,0,0,1,1
0,0,0,1,1,1,0,1,1,1,1
0,0,1,0,0,1,0,0,1,1,1
1,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1,0,1
1,0,0,0,1,0,0,1,1,1,1
1,1,0,0,0,0,0,1,0,0,0
0,1,1,0,1,0,0,1,0,1,1
0,1,0,1,0,1,0,1,1,1,1
0,0,0,1,0,1,0,1,1,0,1
1,0,0,0,0,1,1,0,0,0,0
0,0,1,1,1,0,0,0,0,1,1
1,1,1,0,0,0,1,1,1,1,1
0,0,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,0,1,1,1,1
1,1,1,1,0,1,1,1,1,0,1
0,0,1,1,0,1,1,1,0,1,1
0,1,0,1,1,1,0,0,1,0,1
1,1,1,0,0,0,0,0,0,1,0
0,0,1,0,1,0,1,1,0,0,1
1,1,0,0,0,1,0,1,0,1,0
1,1,0,1,0,0,1,1,1,1,1
1,0,0,1,1,1,0,1,1,0,1
0,0,1,0,0,1,0,1,0,1,1
1,0,1,1,1,0,0,1,0,1,1
0,0,1,0,0,1,0,1,0,0,1
1,1,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0
0,1,1,1,1,1,0,1,0,1,1
1,0,1,0,1,1,0,1,0,1,1
1,1,1,1,0,1,1,1,0,0,1
1,1,0,1,0,0,0,0,1,1,0
1,1,0,1,1,1,0,0,1,1,1
0,1,1,0,0,0,1,0,1,1,1
0,0,1,1,0,0,0,0,0,1,0
0,1,0,0,1,1,0,0,0,0,0
1,1,0,1,0,0,1,0,1,1,1
1,1,0,0,1,1,0,1,1,1,1
1,0,1,0,1,0,0,1,1,1,1
1,0,0,1,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1,1,0,1
0,1,0,1,0,0,0,0,0,1,0
0,0,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,0,0,0,1,1
0,1,1,1,0,0,1,1,0,1,1
1,0,0,1,1,0,1,1,1,1,1
1,0,0,1,1,1,0,1,1,1,1
1,1,0,1,0,1,1,1,1,0,1
1,0,0,0,1,0,1,1,1,0,1
1,1,0,0,1,1,0,1,0,0,1
0,1,1,1,1,1,0,0,0,1,1
1,0,1,0,1,0,0,0,0,1,0
0,1,1,0,0,0,0,1,1,0,1
0,1,1,1,1,0,1,1,1,0,1
0,0,0,0,0,0,0,1,0,0,0
1,0,1,1,1,0,0,0,1,1,1
1,1,1,0,0,1,0,1,1,0,1
0,0,1,0,1,0,0,0,1,1,1
0,1,0,1,1,0,0,0,0,1,0
0,1,0,0,1,0,1,0,1,1,1
1,0,1,0,1,1,0,1,1,0,1
1,1,1,0,1,1,0,0,1,0,1
0,1,1,0,0,1,1,1,0,0,1
1,0,1,0,1,1,1,1,1,0,1
0,1,1,1,1,1,0,0,1,0,1
1,1,0,0,0,0,0,1,0,1,0
0,0,0,1,0,1,1,0,0,1,1
0,1,0,1,0,0,0,0,1,1,0
0,1,1,1,1,1,0,0,1,1,1
0,0,0,0,1,0,0,1,0,1,0
1,0,1,0,1,1,0,0,0,0,1
1,1,1,0,0,1,0,1,0,1,1
1,0,1,1,1,0,0,0,0,1,1
1,0,1,0,1,1,0,1,1,1,1
1,1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0
0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,1,1,1,0,0,0,1
0,1,0,0,0,0,1,0,0,1,0
1,1,1,0,1,0,1,1,0,1,1
1,1,1,1,0,1,1,0,1,0,1
1,1,0,1,0,1,0,0,1,0,1
0,0,0,1,0,0,1,1,1,1,1
0,1,1,1,0,0,0,0,1,0,1
0,0,1,1,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,0,0,1,1,0,0,1
1,1,0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,1,1,0,1,1
0,0,1,1,1,0,1,0,1,1,1
1,1,0,1,1,0,0,1,1,0,1
0,1,0,1,1,1,0,1,0,0,1
0,1,1,0,1,1,0,0,0,0,1
1,0,0,0,1,1,1,0,1,0,1
1,1,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,1,0,1,1,1
0,1,0,0,0,0,0,0,0,1,0
0,1,1,1,0,0,0,0,1,1,1
1,0,0,1,0,0,1,0,1,0,1
0,1,0,1,0,0,1,1,1,1,1
0,1,0,0,1,0,1,1,1,0,1
0,1,1,0,1,1,0,1,1,1,1
0,0,1,1,0,1,1,1,0,0,1
0,1,0,0,0,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,1,0,1,1
1,1,1,1,1,1,0,1,0,0,1
0,0,1,0,0,1,1,0,1,1,1
1,1,1,0,0,1,0,0,0,1,0
1,1,1,0,0,0,1,0,0,0,0
1,1,0,1,0,1,0,1,0,1,1
0,1,0,1,0,1,0,1,0,1,1
1,1,0,1,0,0,0,1,1,1,1
1,0,0,1,1,0,0,1,1,1,1
1,0,1,1,1,0,1,0,1,1,1
1,1,0,1,0,1,1,0,0,1,1
0,0,0,1,0,0,1,0,1,1,1
0,1,1,1,1,0,1,0,0,0,1
0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,1,1,0,1,0
1,1,1,0,0,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,1,0,1
1,0,1,0,1,0,1,0,1,0,1
0,0,1,1,1,0,0,0,1,0,1
1,1,1,0,0,0,0,1,0,1,0
1,1,0,1,1,0,0,0,0,1,0
0,0,0,0,1,1,0,1,1,0,1
1,0,1,1,0,1,1,1,0,1,1
0,1,1,0,1,0,1,1,1,1,1
0,1,0,0,0,1,1,0,0,1,0
0,1,1,1,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,1,0
1,1,1,1,1,0,0,0,0,1,1
0,1,0,1,0,1,0,0,1,1,1
0,1,0,0,1,0,1,0,1,0,1
1,1,0,1,0,0,0,1,0,1,0
1,0,0,0,1,1,0,0,1,0,1
1,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0,0
0,1,0,1,0,1,1,1,0,1,1
0,0,0,0,1,1,0,0,1,1,1
0,1,0,1,1,0,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1,1
0,1,1,0,0,1,0,0,1,1,1
1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,1,0
1,1,0,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,0,1,1,1
1,0,1,1,0,0,0,1,1,1,1
0,1,0,1,0,1,1,0,1,0,1
0,1,0,1,0,0,1,1,0,1,1
0,0,1,0,1,1,0,0,0,0,1
0,1,1,0,0,1,1,1,1,1,1
0,1,1,1,1,0,1,0,1,1,1
1,0,1,1,0,1,0,1,1,0,1
1,1,0,1,0,1,0,0,1,1,1
0,1,1,0,1,1,1,0,1,1,1
1,0,1,1,0,1,0,1,0,1,1
0,0,0,1,1,1,1,1,0,0,1
1,1,0,0,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0,0,1,1
1,1,1,0,1,1,1,1,0,1,1
0,0,0,1,0,0,1,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,0,1,0,0,0,1,0
1,1,1,1,1,0,0,1,0,0,1
1,1,0,1,0,0,1,0,0,0,0
0,1,1,1,1,1,1,1,0,0,1
0,1,1,1,1,0,1,0,1,0,1
1,1,1,1,0,0,1,0,1,1,1
0,0,1,1,1,0,0,1,0,0,1
1,1,1,1,1,1,0,0,0,0,1
0,1,0,1,0,1,0,1,0,0,1
1,0,0,1,0,0,0,1,0,1,0
0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,0,0,1,0,1,1,0
0,1,0,1,1,0,0,1,1,1,1
0,0,1,1,1,1,0,0,0,0,1
1,0,0,1,1,0,1,0,0,1,1
1,1,0,1,1,0,1,1,1,0,1
0,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,1,1,0
1,1,0,0,1,1,0,0,1,1,1
0,1,1,0,1,0,0,1,1,1,1
0,1,0,0,0,1,0,0,1,1,0
1,0,0,0,0,1,0,1,1,0,1
1,0,0,1,1,1,1,0,1,1,1
0,0,1,0,0,0,1,1,0,0,1
0,0,1,0,1,1,0,0,1,0,1
0,1,1,1,1,1,1,0,0,0,1
1,1,0,0,1,0,0,1,0,0,0
0,1,0,1,0,1,1,0,0,0,1
0,0,1,1,0,1,1,0,1,1,1
0,1,1,0,0,1,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0
1,0,0,0,1,1,1,0,0,1,1
1,0,0,0,1,0,1,1,1,1,1
0,1,0,0,1,1,1,1,0,0,1
1,0,0,0,0,0,0,1,1,0,0
0,0,0,1,1,0,0,0,1,1,1
0,1,1,1,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0
0,0,1,0,0,1,1,0,0,0,1
0,1,1,1,0,1,0,0,1,1,1
1,0,1,1,1,1,0,1,0,0,1
0,1,1,0,1,0,1,1,0,0,1
0,0,1,1,0,1,0,1,1,1,1
0,0,1,1,0,1,1,0,0,0,1
0,1,1,1,1,1,0,1,1,1,1
0,1,1,1,0,1,0,0,0,1,1
1,0,0,1,1,0,1,1,0,1,1
0,0,0,1,1,0,1,0,0,1,1
1,1,0,0,1,1,1,0,0,1,1
0,0,0,1,1,1,1,0,1,1,1
1,0,0,1,1,1,1,0,0,0,1
0,1,0,0,0,0,1,1,1,1,1
1,1,1,1,0,0,0,1,1,0,1
0,0,1,0,0,1,0,1,1,0,1
0,0,0,1,1,1,1,1,1,1,1
1,0,1,1,0,1,0,0,0,1,1
1,0,1,1,1,0,1,1,1,0,1
1,1,1,1,0,1,0,1,1,0,1
1,1,1,1,1,1,1,1,0,0,1
0,1,0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,1,0,1,1,1
0,0,0,0,1,0,0,0,0,0,0
0,1,0,1,0,0,0,1,1,0,1
1,0,0,0,0,1,1,1,1,1,1
0,1,0,1,1,1,0,1,1,1,1
1,0,1,0,0,1,1,0,1,0,1
1,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,0,1,0,0
0,0,1,1,0,1,0,1,0,0,1
1,1,1,0,0,0,0,0,1,0,0
0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,1,1,0,1
1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0
0,0,0,1,1,1,0,0,1,0,1
1,0,1,1,1,0,1,1,0,0,1
1,0,1,0,1,1,0,0,1,0,1
1,0,1,1,0,1,0,0,1,1,1
1,0,0,1,0,0,0,0,0,1,0
0,1,1,0,1,1,1,0,0,0,1
0,1,1,1,1,1,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,1,1,1
1,0,1,0,0,0,0,1,1,1,1
1,0,1,0,1,0,1,0,1,1,1
1,0,0,1,0,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,0,1,0,0,0,1,0
0,0,1,1,1,0,1,0,1,0,1
0,0,1,1,0,0,1,0,1,1,1
1,1,1,1,1,0,0,0,1,0,1
0,1,1,0,1,1,0,0,0,1,1
1,1,1,1,1,0,0,1,1,1,1
0,1,1,0,1,0,0,1,1,0,1
0,0,1,1,0,1,1,0,0,1,1
1,0,0,1,1,1,1,1,0,0,1
0,0,0,1,1,0,1,1,0,1,1
0,0,1,0,0,1,1,1,0,1,1
1,0,1,1,1,1,1,1,0,1,1
1,1,0,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,0,1
0,1,0,1,0,1,1,1,1,1,1
0,0,1,0,0,1,0,1,1,1,1
0,1,0,0,0,0,0,0,1,0,0
1,0,1,0,0,1,1,0,0,0,1
0,0,1,1,1,0,0,1,1,0,1
0,1,1,0,1,1,0,0,1,1,1
0,0,1,0,0,0,1,1,1,0,1
1,0,1,1,0,0,0,1,0,1,1
0,0,0,1,1,1,0,0,1,1,1
1,1,0,0,0,0,1,0,1,0,0
1,1,0,0,0,1,0,0,1,1,0
1,1,0,1,1,1,0,0,0,0,1
1,1,0,0,1,1,1,1,0,1,1
0,0,0,1,1,1,1,1,0,1,1
0,0,1,0,1,0,1,0,1,1,1
0,1,1,0,0,1,1,0,1,0,1
1,1,0,1,0,1,1,0,0,0,1
1,0,1,0,0,0,1,1,0,0,1
0,0,0,0,1,1,0,1,0,0,1
1,0,0,0,0,0,1,0,1,1,0
1,0,0,0,0,0,1,1,1,1,1
1,1,1,1,0,0,0,0,1,0,1
1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,0,1,1,1,0,1
1,0,0,0,1,1,0,1,1,1,1
1,1,1,0,0,1,1,0,1,1,1
1,1,1,0,1,1,1,1,1,0,1
0,1,1,1,0,1,1,1,0,1,1
0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,1,0,1,0,0
1,0,1,0,1,0,0,0,1,0,1
0,0,0,1,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,0
0,1,0,0,1,1,0,0,1,0,1
1,0,1,0,1,1,0,1,0,0,1
0,0,1,1,0,1,0,0,0,0,1
1,0,1,1,1,1,1,1,0,0,1
0,0,0,0,1,0,1,0,1,0,1
0,0,0,0,1,1,0,1,1,1,1
1,0,0,0,1,0,1,0,0,1,0
0,0,0,1,0,1,0,0,1,0,1
1,1,0,0,0,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,0
1,1,0,0,1,0,1,1,0,1,1
0,1,0,0,1,1,0,1,0,1,1
0,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0,1,0,0,1,0,1
1,0,0,1,0,1,0,1,0,0,1
0,0,0,0,1,1,0,0,0,1,0
0,0,0,1,1,1,1,0,1,0,1
1,1,1,1,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,1,0,1
0,0,1,1,0,1,0,1,1,0,1
0,1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,1,0
1,1,1,0,0,1,0,1,0,0,1
0,1,1,0,1,0,0,0,1,0,1
0,1,0,0,1,0,1,1,0,0,1
1,0,1,1,0,0,0,0,0,1,0
1,0,1,0,1,0,1,1,0,1,1
1,0,1,1,0,0,0,0,1,1,1
0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,0,1,1
1,0,1,1,0,1,1,0,0,1,1
0,1,1,1,1,1,1,1,0,1,1
0,1,0,1,0,1,1,0,1,1,1
1,0,0,0,0,0,0,1,1,1,0
1,0,1,0,0,1,1,1,1,1,1
1,1,0,0,0,1,1,0,1,0,1
0,0,0,1,1,1,1,0,0,1,1
1,0,0,0,1,1,0,0,1,1,1
0,0,1,1,0,0,0,0,0,0,0
0,1,1,1,0,1,1,0,1,1,1
0,0,1,0,1,0,1,1,1,1,1
0,1,0,1,0,1,1,1,1,0,1
1,1,0,0,1,0,1,1,1,0,1
1,0,0,1,1,1,1,1,1,0,1
1,0,0,1,0,0,1,1,0,1,1
1,1,1,1,1,1,0,1,1,0,1
1,1,0,1,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,1
1,0,0,1,0,0,1,1,1,0,1
0,1,0,1,1,0,0,0,1,0,1
0,0,0,1,1,0,1,0,0,0,1
0,0,0,0,1,1,1,1,1,0,1
1,0,1,1,0,0,1,1,1,1,1
0,1,0,1,1,1,1,0,1,0,1
0,1,1,0,1,1,0,0,1,0,1
0,1,1,1,1,1,1,0,1,0,1
0,0,1,1,1,1,0,0,1,1,1
0,1,0,0,1,1,0,1,1,1,1
0,0,0,1,0,1,1,1,0,0,1
1,1,1,0,1,0,0,0,1,1,1
0,1,1,1,0,1,0,0,1,0,1
1,1,1,0,1,0,0,1,1,0,1
1,1,0,0,0,1,0,1,0,0,0
1,1,1,1,0,1,0,1,1,1,1
1,1,1,1,0,1,0,0,1,0,1
0,1,0,0,0,0,1,1,1,0,1
1,0,1,1,0,0,1,0,1,0,1
0,0,1,0,1,0,1,1,0,1,1
1,1,1,1,1,1,1,0,0,0,1
1,1,0,1,1,1,0,1,0,1,1
1,1,0,1,0,1,0,1,1,1,1
1,0,0,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,0,0,1,1
1,0,0,0,0,1,0,0,1,1,0
1,0,0,1,0,1,0,0,0,0,0
1,1,1,1,1,1,0,0,0,1,1
1,0,1,0,0,0,1,1,1,1,1
0,1,1,1,0,1,1,1,1,0,1
0,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,0,1,1,0,1,1
0,1,1,0,0,0,1,1,1,0,1
0,0,0,1,0,0,0,1,1,0,1
1,1,0,0,1,0,0,1,0,1,0
0,0,1,1,1,0,0,0,1,1,1
1,1,1,0,0,0,0,1,0,0,0
1,1,0,1,1,0,0,1,1,1,1
1,0,0,1,0,1,0,1,0,1,1
1,0,1,1,1,1,0,0,1,0,1
1,0,1,1,0,0,1,0,0,1,1
0,0,0,1,1,0,1,1,1,1,1
1,1,0,1,0,0,1,1,1,0,1
1,0,1,1,0,0,0,0,1,0,1
0,1,0,1,1,1,0,0,0,0,1
0,1,0,0,0,0,1,1,0,0,0
1,1,0,0,1,0,0,1,1,0,1
0,0,0,1,0,1,1,0,0,0,1
1,1,1,1,0,0,0,1,1,1,1
1,0,1,0,0,1,0,0,1,1,1
1,1,1,0,1,0,0,1,1,1,1
1,1,1,1,0,0,0,1,0,0,1
0,1,1,0,0,0,0,1,1,1,1
1,0,1,1,0,1,1,1,0,0,1
0,1,0,1,0,0,1,0,0,0,0
0,1,1,0,0,1,1,0,1,1,1
1,1,0,0,1,1,0,0,0,1,0
0,0,1,1,1,1,1,0,0,0,1
0,0,1,1,0,1,1,0,1,0,1
0,1,1,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,1,1,1,1,0,0,1
0,0,0,0,1,1,0,0,0,0,0
1,1,1,1,0,0,1,1,1,1,1
0,0,1,1,0,0,1,1,0,1,1
